model,latency
Llama-3.1-Nemotron-70B-Instruct-HF,1.1054068138599435
o1-preview-2024-09-12,7.368572853601852
Yi-34B-Chat,1.287167620713546
salamandra-7b-instruct,0.3894831193548411
claude-3-5-sonnet-20240620,0.8799292818885479
sheep-duck-llama-2-70b-v1.1,5.524607914346891
gpt-4o-2024-05-13,0.5570990732389722
Qwen2-7B-Instruct,0.35894072179487585
Yi-1.5-6B-Chat,6.496741103848958
gpt-4o-mini-2024-07-18,0.5342684150088954
vicuna-13b-v1.5,1.4753938719676523
gpt-3.5-turbo-0125,0.6829601016193729
gemma-2-27b-it,0.9922771009345839
Meta-Llama-3-70B-Instruct-hf,3.3482561586622244
gpt-4o-2024-08-06,0.5169587531894
Qwen2-72B-Instruct,0.9480584860151323
WizardLM-70b-v1.0,3.92497720388349
Meta-Llama-3.1-405B-Instruct-Turbo,0.7886103946545806
gemini-1.5-flash-latest,37.20426721004876
codegemma-7b-it,0.30489740508652075
llama-2-70b-chat-hf,4.724659620079606
gpt-4-turbo-2024-04-09,0.9930876319528394
Yi-1.5-34B-Chat,9.232551962889284
gemini-1.0-pro,0.6346876567117772
command-r,0.18832414914586032
Qwen1.5-7B-Chat,0.3898907690883855
Mixtral-8x7B-Instruct-v0.1,0.93929676606363
claude-3-haiku-20240307,0.8695497396191063
openchat-3.5-0106,0.29209514505566414
WizardLM-13b-v1.2,3.565436762576302
gemma-7b-it,0.6112263564356449
Mistral-7B-Instruct-v0.2,0.7635151196709021
aya-23-35B,0.5755088395104295
Qwen2.5-Coder-32B-Instruct,0.833706696055295
gpt-4-0613,0.6484411465828772
tulu-2-dpo-70b,7.8485973393285535
CodeLlama-34b-Instruct-hf,3.851887315425936
gemma-2-2b-it,0.313982151791985
openchat_3.5,0.31728768684620556
Qwen1.5-14B-Chat,0.37289333481153125
gemini-1.5-pro-latest,82.90283880578058
Qwen1.5-1.8B-Chat,0.5502705449999994
gpt-4-1106-preview,0.7767265743542721
aya-23-8B,0.48188481856133913
Qwen1.5-0.5B-Chat,0.17346913937547365
claude-3-sonnet-20240229,1.4194860128225997
Mistral-7B-Instruct-v0.1,0.28286475507717285
dolphin-2.5-mixtral-8x7b,1.1007298473122393
Mistral-Large-Instruct-2407,1.2444667688634141
claude-3-opus-20240229,2.9558458279177895
sheep-duck-llama-2-13b,2.9462099794520498
Starling-LM-7B-beta,1.365002297029694
gpt-4-0125-preview,1.0418927523113635
Meta-Llama-3.1-8B-Instruct,0.2063057484060803
Nous-Hermes-2-Mixtral-8x7B-SFT,0.8608922633033878
Meta-Llama-3-8B-Instruct-hf,2.1164475432568053
gemma-1.1-7b-it,0.17829538783455012
openchat-3.5-1210,0.28049827691029905
SUS-Chat-34B,2.2795147610691076
gemma-1.1-2b-it,0.11925699461279472
gemma-2-9b-it,0.3692553324432552
Qwen1.5-72B-Chat,12.689668927658163
mistral-medium-2312,3.316787051521213
vicuna-33b-v1.3,0.8235025152162286
Phi-3-mini-128k-instruct,0.6615315832127411
Mixtral-8x22B-Instruct-v0.1,1.0759354563573882
Qwen1.5-32B-Chat,0.5092292557397967
Meta-Llama-3.1-70B-Instruct,0.8105055275945343
Yi-1.5-9B-Chat,8.023524220188563
claude-2.1,1.683631622102253
command-r-plus,0.31040160192837474
mistral-large-2402,0.3967416598893958
