model,latency
claude-instant-1.2,0.946305175997138
Nous-Hermes-2-Mixtral-8x7B-DPO,29.886207558875615
Yi-34B-Chat,2.4769338955621296
zephyr-7b-alpha,1.5859638806375005
vicuna-7b-v1.5,0.30159937743190757
oasst-sft-4-pythia-12b-epoch-3.5,0.6340913295695146
sheep-duck-llama-2-70b-v1.1,3.7638207901364034
gpt4all-13b-snoozy,4.50692902023473
claude-v1.3,0.9568404388589339
deepseek-llm-67b-chat,1.7252334322193041
Wizard-Vicuna-13B-Uncensored-HF,0.6014363966500337
vicuna-13b-v1.5,1.5893434526091594
gpt-3.5-turbo-1106,2.521070432550043
WizardLM-70b-v1.0,5.3229115909822715
falcon-7b-instruct,2.7543020515259635
claude-2,1.6711658352098209
mistral-medium,2.9898881757554165
llama-2-70b-chat-hf,1.8426368746250699
gpt-4-0314,0.9914188094435062
Mixtral-8x7B-Instruct-v0.1,20.01055773248399
openchat-3.5-0106,0.2972074152097899
deepseek-llm-7b-chat,0.26008916042780966
WizardLM-13b-v1.2,2.6016942526217233
llama-2-7b-chat-hf,0.8613345876245833
gpt-4-0613,1.6039140989721452
tulu-2-dpo-70b,6.35855068835617
CodeLlama-34b-Instruct-hf,1.40547236451144
openchat_3.5,0.3164935419860327
gpt-4-1106-preview,0.832350274219502
llama-2-13b-chat-hf,0.7715245669493689
Mistral-7B-Instruct-v0.1,0.5291587970924831
koala-13B-HF,1.6386575550611828
sheep-duck-llama-2-13b,3.265727689253181
openchat-3.5-1210,0.37821639084115016
SUS-Chat-34B,1.0628226926108362
command,0.5038244478342756
vicuna-33b-v1.3,1.114660633913529
zephyr-7b-beta,1.8467722653416947
tulu-2-dpo-7b,1.313866762259193
claude-2.1,1.2556561779979507
gpt-3.5-turbo-0613,3.4504057014124796
