model,latency
OLMo-2-0425-1B-Instruct,0.6838775328947352
OLMo-2-0325-32B-Instruct,2.6902237962453417
llama-4-scout,0.8308962191550642
deepseek-v3-0324,5.21723812733092
gemma-3-27b-it,15.13043396772463
gpt-4o-2024-08-06,0.913340779601784
Qwen2-72B-Instruct,3.1755441917275657
Meta-Llama-3.1-405B-Instruct-Turbo,2.248000698485234
Qwen2.5-7B-Instruct,0.6249819116495606
claude-3-5-sonnet-20241022,1.4753575820123435
Mistral-Small-24B-Instruct-2501,0.9855763792094953
Qwen2.5-72B-Instruct,2.185567212984842
Qwen2.5-Coder-7B-Instruct,0.5706543909715173
QwQ-32B-Preview,4.933182431939152
deepseek-r1,81.72311320692734
Qwen2.5-Coder-32B-Instruct,1.228838665968115
gemini-2.0-flash-exp,11.008178197382852
gpt-4.1-2025-04-14,0.7032808556521718
Meta-Llama-3.1-8B-Instruct,0.6068067105998566
OLMo-2-1124-7B-Instruct,0.6116522945904616
gemma-2-9b-it,1.4270639187021583
Llama-3.3-70B-Instruct,2.205538530823043
o3-mini-2025-01-31,7.7922910903058735
llama-4-maverick,0.9095568529039242
qwen-max,7.292370293977721
Meta-Llama-3.1-70B-Instruct,1.7009082384111114
OLMo-2-1124-13B-Instruct,1.4513794491609198
QwQ-32B,6.435728384464113
phi-4,1.622315294482889
deepseek-v3,4.444570954978063
claude-3-7-sonnet-20250219,5.26145909539804
mistral-large-2411,0.8266228007397166
aya-expanse-32b,1.1478015451650763
